Pathways	Species	Common-Name	Object ID	Taxonomic-Range	Synonyms
PWY-6946	TAX-1773 // TAX-83332 // TAX-74576	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	PWY-6946	TAX-2	
PWY-8151	TAX-157592	cholesterol degradation to androstenedione III (anaerobic)	PWY-8151	TAX-2	
PWY-3385	TAX-3708 // TAX-3847 // TAX-4097 // TAX-3562 // ORG-5993	choline biosynthesis I	PWY-3385	TAX-33090	
PWY-3542	TAX-3988	choline biosynthesis II	PWY-3542	TAX-3398	
PWY-3561	TAX-3847 // TAX-3888 // TAX-3988 // ORG-5993	choline biosynthesis III	PWY-3561	TAX-2157 // TAX-2 // TAX-2759	
CHOLINE-BETAINE-ANA-PWY	TAX-9606 // TAX-4513 // TAX-287 // TAX-303 // ORG-6005	choline degradation I	CHOLINE-BETAINE-ANA-PWY	TAX-33208 // TAX-33090 // TAX-1224	choline betaine anabolism
PWY-3721	TAX-746128 // TAX-1665 // TAX-1677 // TAX-1667 // TAX-109805 // TAX-183586 // TAX-5127 // TAX-5507 // ORG-5907	choline degradation II	PWY-3721	TAX-4751 // TAX-201174	
PWY-7167	TAX-207559	choline degradation III	PWY-7167	TAX-2	
PWY-7494	TAX-746128 // TAX-451804	choline degradation IV	PWY-7494	TAX-4751	
P542-PWY	TAX-287 // ORG-6005	choline-<i>O</i>-sulfate degradation	P542-PWY	TAX-1224	choline sulfate degradation
PWY-6566	TAX-9606	chondroitin biosynthesis	PWY-6566	TAX-33208	
PWY-6567	TAX-9606	chondroitin sulfate biosynthesis	PWY-6567	TAX-33208	
PWY-6573	TAX-9606	chondroitin sulfate degradation (metazoa)	PWY-6573	TAX-33208	
PWY-6572	TAX-1311 // TAX-818 // TAX-984 // TAX-585	chondroitin sulfate degradation I (bacterial)	PWY-6572	TAX-2	
PWY-6163	TAX-1423 // TAX-511145 // TAX-71421 // TAX-2190 // TAX-4102 // TAX-4932 // TAX-90371 // TAX-2287	chorismate biosynthesis from 3-dehydroquinate	PWY-6163	TAX-2157 // TAX-3041 // TAX-2763 // TAX-287987 // TAX-5204 // TAX-2836 // TAX-4762 // TAX-4890 // TAX-5794 // TAX-33090 // TAX-2	
ARO-PWY	TAX-1423 // TAX-511145 // TAX-71421 // TAX-4102 // TAX-4932 // TAX-90371 // TAX-5811 // ORG-5993	chorismate biosynthesis I	ARO-PWY	TAX-33682 // TAX-3041 // TAX-2763 // TAX-287987 // TAX-5204 // TAX-2836 // TAX-4762 // TAX-4890 // TAX-5794 // TAX-33090 // TAX-2	aromatic amino acid biosynthesis // shikimate pathway
PWY-6165	TAX-2190 // TAX-39152	chorismate biosynthesis II (archaea)	PWY-6165	TAX-2157	
PWY-5363	TAX-4043	chrysin biosynthesis	PWY-5363	TAX-4037	
PWY-6232	TAX-39947 // TAX-36749 // TAX-3847	chrysoeriol biosynthesis	PWY-6232	TAX-33090	3'-O-Methylluteolin biosynthesis // 5,7,4'-trihydroxy-3'-methoxyflavone biosynthesis
PWY-7057	TAX-13427 // TAX-4097	cichoriin interconversion	PWY-7057	TAX-58024	
PWY-5848	TAX-43462 // TAX-153742 // TAX-273779 // TAX-273780 // TAX-273781 // TAX-128294 // TAX-50278	cinchona alkaloids biosynthesis	PWY-5848	TAX-169619	quinidine biosynthesis // cinchonine biosynthesis // cinchonidine biosynthesis // antimalarial alkaloids biosynthesis // quinine biosynthesis
PWY-6690	TAX-33008 // TAX-511145	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	PWY-6690	TAX-2	
PWY-5968	TAX-3885 // TAX-51239 // TAX-4120 // TAX-3747	cinnamate esters biosynthesis	PWY-5968	TAX-33090	
PWY-6457	TAX-4058 // TAX-3659 // TAX-140968 // TAX-55963 // TAX-4097 // TAX-4102 // TAX-115828 // ORG-5993	cinnamoyl-CoA biosynthesis	PWY-6457	TAX-3193 // TAX-2	cinnamoyl-coenzyme A biosynthesis
PWY18C3-13	TAX-4097	<i>cis</i>-abienol biosynthesis	PWY18C3-13	TAX-33090	
PWY-7869	TAX-354197 // TAX-72000 // TAX-414050 // TAX-1270 // TAX-40324 // TAX-339	<i>cis</i>-alkene biosynthesis	PWY-7869	TAX-2	olefin biosynthesis
PWY-6128	TAX-13468 // TAX-34256	cis-calamenene related sesquiterpenoids biosynthesis	PWY-6128	TAX-131567	
PWY-6672	TAX-205922 // TAX-220664 // TAX-300 // TAX-287 // TAX-208964 // TAX-53408	<i>cis</i>-geranyl-CoA degradation	PWY-6672	TAX-2	acyclic terpene utilization pathway
PWY-5973	TAX-48545 // TAX-73871 // TAX-511145	<i>cis</i>-vaccenate biosynthesis	PWY-5973	TAX-2 // TAX-3398	<i>cis</i> vaccenic acid acid biosynthesis
PWY-2781	ORG-5993	<i>cis</i>-zeatin biosynthesis	PWY-2781	TAX-3193	<i>cis</i>-cytokinins biosynthesis // tRNA-dependent cytokinin biosynthesis
PWY-6038	TAX-511145 // TAX-548 // TAX-573 // TAX-28068	citrate degradation	PWY-6038	TAX-2	
P2-PWY	TAX-511145 // TAX-548 // TAX-573 // TAX-28068	citrate lyase activation	P2-PWY	TAX-2	
PWY-7696	TAX-162425 // TAX-5127	citreoisocoumarin and bikisocoumarin biosynthesis	PWY-7696	TAX-4751	
PWY-6670	TAX-205922 // TAX-220664 // TAX-300 // TAX-287 // TAX-208964 // TAX-53408	citronellol degradation	PWY-6670	TAX-2	acyclic terpene utilization pathway
PWY-5679	TAX-1901	clavulanate biosynthesis	PWY-5679	TAX-201174	clavulanic acid biosynthesis
PWY-8368	TAX-285450	clorobiocin biosynthesis	PWY-8368	TAX-201174	
PWY-7205	TAX-4932 // TAX-511145 // TAX-9606 // ORG-5993	CMP phosphorylation	PWY-7205	TAX-2759 // TAX-2 // TAX-2157	
PWY-6140	TAX-226186 // TAX-8022	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis	PWY-6140	TAX-2 // TAX-2759	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononic acid biosynthesis // CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis // CMP-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonate biosynthesis // CMP-KDN biosynthesis
PWY-1269	TAX-469008 // TAX-511145 // TAX-4577 // ORG-5993	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-1269	TAX-1117 // TAX-33090 // TAX-1783257 // TAX-1224	CMP-Kdo biosynthesis I
PWY-7674	TAX-211586	CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-7674	TAX-267890	CMP-Kdo8N biosynthesis I
PWY-7719	ORG-6284	CMP-diacetamido-8-epilegionaminic acid biosynthesis	PWY-7719	TAX-2	CMP-5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate biosynthesis // 8eLeg5Ac7Ac biosynthesis
PWY-6749	TAX-197 // TAX-192222	CMP-legionaminate biosynthesis I	PWY-6749	TAX-2	CMP-legionaminic acid biosynthesis I // 5,7-diacetamido-3,5,7,9-tetradeoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis I // CMP-<i>N</i>, <i>N</i>-diacetyllegionaminate biosynthesis I
PWY-7131	TAX-446 // TAX-272624	CMP-legionaminate biosynthesis II	PWY-7131	TAX-2	
PWY-7529	TAX-316275	CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	PWY-7529	TAX-2	
PWY-6138	TAX-9606 // TAX-10090 // TAX-10116	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	TAX-2759	CMP-<i>N</i>-acetylneuraminic acid biosynthesis I (eukaryotes)
PWY-6139	TAX-851 // TAX-197 // TAX-1392869 // TAX-491 // TAX-203119 // TAX-1311 // TAX-730	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	PWY-6139	TAX-2	CMP-<i>N</i>-acetylneuraminic acid biosynthesis II (bacteria)
PWY-6144	TAX-7604 // TAX-9823 // TAX-10090	CMP-<i>N</i>-glycoloylneuraminate biosynthesis	PWY-6144	TAX-2759	
PWY-6143	TAX-195 // TAX-197 // TAX-85962 // TAX-287	CMP-pseudaminate biosynthesis	PWY-6143	TAX-2	CMP-pseudaminic acid biosynthesis
PWYQT-4429	TAX-187420 // ORG-5993	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	PWYQT-4429	TAX-1117 // TAX-2157 // TAX-33090	CO<sub>2</sub> fixation into oxaloacetic acid (anaplerotic)
PWY-7377	TAX-1404 // TAX-1097 // TAX-173 // TAX-2190 // TAX-145262 // TAX-1744 // TAX-1752 // TAX-90371	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	PWY-7377	TAX-2157 // TAX-2	
PWY-7376	TAX-29459 // TAX-43306 // TAX-1061 // TAX-382	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	PWY-7376	TAX-2 // TAX-2157	
PWY-7974	TAX-9606	cobalamin salvage (eukaryotic)	PWY-7974	TAX-2759	
PWY-5843	TAX-289672	cocaine biosynthesis	PWY-5843	TAX-22118	
PWY-7880	TAX-100226	coelimycin P1 biosynthesis	PWY-7880	TAX-85011	
COA-PWY	TAX-511145	coenzyme A biosynthesis I (bacteria)	COA-PWY	TAX-2	CoA biosynthesis
PWY-7851	TAX-9606 // TAX-4932 // ORG-5993	coenzyme A biosynthesis II (eukaryotic)	PWY-7851	TAX-2759	CoA biosynthesis
PWY-8342	TAX-2190 // TAX-29292 // TAX-311400	coenzyme A biosynthesis III (archaea)	PWY-8342	TAX-2157	CoA biosynthesis
P241-PWY	TAX-2190 // TAX-2188 // TAX-2210	coenzyme B biosynthesis	P241-PWY	TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925	7-mecaptoheptanoylthreonine phosphate biosynthesis // CoB biosynthesis
PWY-5207	TAX-2208 // TAX-2209 // TAX-2210	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)	PWY-5207	TAX-94695	CoB/CoM regeneration I // CoB-CoM heterodisulfide reduction I // coenzyme B-coenzyme M heterodisulfide reduction I
PWY-7865	TAX-188937 // TAX-2208 // TAX-2209 // TAX-2210	coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)	PWY-7865	TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756	CoB/CoM regeneration II // CoB-CoM heterodisulfide reduction II // coenzyme B-coenzyme M heterodisulfide reduction II
PWY-7866	TAX-188937 // TAX-2208 // TAX-2209 // TAX-2210	coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent)	PWY-7866	TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756	CoB/CoM regeneration III // CoB-CoM heterodisulfide reduction III // coenzyme B-coenzyme M heterodisulfide reduction III
PWY-7867	TAX-145263 // TAX-145262	coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent)	PWY-7867	TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756	CoB/CoM regeneration IV // CoB-CoM heterodisulfide reduction IV // coenzyme B-coenzyme M heterodisulfide reduction IV
PWY-7868	TAX-39152	coenzyme B/coenzyme M regeneration V (formate-dependent)	PWY-7868	TAX-183988 // TAX-183925 // TAX-183939 // TAX-224756	CoB/CoM regeneration V // CoB-CoM heterodisulfide reduction V // coenzyme B-coenzyme M heterodisulfide reduction V
P261-PWY	TAX-78245 // TAX-2190 // TAX-2162 // ORG-5913	coenzyme M biosynthesis I	P261-PWY	TAX-1224 // TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925	CoM biosythesis // 2-mercaptoethanesulfonic acid biosynthesis
PWY-6643	TAX-2214	coenzyme M biosynthesis II	PWY-6643	TAX-2191 // TAX-94695	CoM biosynthesis II
PWY-8243	TAX-511145	colanic acid (<i>Escherichia coli</i> K12) biosynthesis	PWY-8243	TAX-543	
COLANSYN-PWY	TAX-511145	colanic acid building blocks biosynthesis	COLANSYN-PWY	TAX-1224	
PWY-5846	TAX-45005	colchicine biosynthesis	PWY-5846	TAX-13444	
PWY-8117	TAX-714962	colibactin biosynthesis	PWY-8117	TAX-562	
PWY-5133	TAX-3486	colupulone and cohumulone biosynthesis	PWY-5133	TAX-3481	bitter acid biosynthesis
PWY-7920	TAX-3702	complex <i>N</i>-linked glycan biosynthesis (plants)	PWY-7920	TAX-33090	
PWY-7426	TAX-9031 // TAX-9606	complex <i>N</i>-linked glycan biosynthesis (vertebrates)	PWY-7426	TAX-7742	
PWY-116	TAX-3827 // TAX-3329 // TAX-3353 // TAX-3339 // TAX-3348 // TAX-1831 // ORG-5993	coniferin metabolism	PWY-116	TAX-2 // TAX-58024	
PWY-7643	TAX-407263 // TAX-407264	coniferyl alcohol 9-methyl ester biosynthesis	PWY-7643	TAX-33090	
PWY0-43	TAX-511145	conversion of succinate to propanoate	PWY0-43	TAX-1224	conversion of succinate to propionate
PWY-8030	TAX-71251 // TAX-261450 // TAX-3442 // TAX-261448 // TAX-3469	coptisine biosynthesis	PWY-8030	TAX-33090	
PWY-7914	TAX-37510 // TAX-6136	coral bioluminescence	PWY-7914	TAX-6073	Cnidaria bioluminescence
PWY-5476	TAX-29775	cornusiin E biosynthesis	PWY-5476	TAX-3398	
PWY-6540	TAX-35608 // TAX-171760 // TAX-13427 // TAX-4232 // TAX-4236 // TAX-28511 // TAX-59297 // TAX-127999	costunolide biosynthesis	PWY-6540	TAX-33090 // TAX-131567	
PWY-5176	TAX-47082	coumarin biosynthesis (via 2-coumarate)	PWY-5176	TAX-3398	
PWY-5319	TAX-47082	coumarin metabolism (to melilotic acid)	PWY-5319	TAX-3398	
PWY-7398	TAX-566546 // TAX-4120 // TAX-4043 // TAX-5535 // ORG-5993	coumarins biosynthesis (engineered)	PWY-7398	TAX-4751 // TAX-33090 // TAX-2	
PWY-6332	TAX-157791	coumestrol biosynthesis	PWY-6332	TAX-3803	
GLYCGREAT-PWY	TAX-9606 // TAX-10116	creatine biosynthesis	GLYCGREAT-PWY	TAX-7742	glycine degradation II // glycine degradation
PWY-6158	TAX-9986 // TAX-9031 // TAX-9606	creatine phosphate biosynthesis	PWY-6158	TAX-7742	
CRNFORCAT-PWY	TAX-32002 // TAX-68999 // TAX-303 // TAX-243975 // TAX-43143 // TAX-79681 // ORG-5948	creatinine degradation I	CRNFORCAT-PWY	TAX-2	creatinine catabolism
PWY-4722	TAX-1667 // ORG-5940	creatinine degradation II	PWY-4722	TAX-2	
PWY-4741	TAX-316 // ORG-5861	creatinine degradation III	PWY-4741	TAX-2	
PWY-8296	TAX-66881	cremeomycin biosynthesis	PWY-8296	TAX-1760	
PWY-6013	TAX-75102 // TAX-72610	crepenynate biosynthesis	PWY-6013	TAX-4751 // TAX-33090	crepenynic acid biosynthesis
PWY-5397	TAX-82528 // TAX-114476 // TAX-41228 // ORG-5910	crocetin biosynthesis	PWY-5397	TAX-85894 // TAX-4136 // TAX-24966 // TAX-26339	safranal biosynthesis
PWY-5398	TAX-82528 // TAX-114476	crocetin esters biosynthesis	PWY-5398	TAX-24966 // TAX-26339	crocin biosynthesis
PWY-7401	TAX-316277	crotonate fermentation (to acetate and cyclohexane carboxylate)	PWY-7401	TAX-2	crotonic acid fermentation (to acetic acid and cyclohexane carboxylate) // crotoate fermentation
PWY-8100	TAX-912362	crotonosine biosynthesis	PWY-8100	TAX-33090	
PWY-7854	TAX-1534 // TAX-511145 // TAX-9606 // TAX-272630 // TAX-338192 // TAX-1061 // TAX-1063 // ORG-5993	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	PWY-7854	TAX-2759 // TAX-2 // TAX-2157	CO<sub>2</sub> fixation (engineered) // CETCH 5.4 cycle // crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle // carbon dioxide fixation (engineered)
PWY-8358	TAX-489825	curacin A biosynthesis	PWY-8358	TAX-1117	
PWY-6257	TAX-136217 // TAX-62890 // TAX-28511 // TAX-94328	curcumene biosynthesis	PWY-6257	TAX-33090	
PWY0-1527	TAX-511145	curcumin degradation	PWY0-1527	TAX-2	curcumin metabolism
PWY-4421	TAX-4058	curcumin glucoside biosynthesis	PWY-4421	TAX-3398	
PWY-6432	TAX-136217	curcuminoid biosynthesis	PWY-6432	TAX-99568	
PWY-282	ORG-5993	cuticular wax biosynthesis	PWY-282	TAX-33090	
PWY-321	TAX-3847 // TAX-39947 // TAX-4530 // ORG-5993	cutin biosynthesis	PWY-321	TAX-33090	cutin monomer biosynthesis
CYANCAT-PWY	TAX-511145 // TAX-294 // ORG-5993	cyanate degradation	CYANCAT-PWY	TAX-33090 // TAX-2	cyanate catabolism
P401-PWY	TAX-536	cyanide degradation	P401-PWY	TAX-33090 // TAX-2	
ASPSYNII-PWY	TAX-3847 // TAX-4513 // TAX-4006 // TAX-3871 // TAX-3750 // TAX-4097 // TAX-3888 // TAX-4558 // TAX-3562 // ORG-5993	cyanide detoxification I	ASPSYNII-PWY	TAX-3193	&beta;-cyanoalanine biosynthesis // asparagine biosynthesis II
PWY-7142	TAX-1682391 // TAX-183477	cyanide detoxification II	PWY-7142	TAX-4751	
PWY-7464	TAX-85439	cyanidin 3,7-diglucoside polyacylation biosynthesis	PWY-7464	TAX-3398	
PWY-7256	TAX-51501 // TAX-85439 // TAX-3570	cyanidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7256	TAX-3398	
PWY-7452	TAX-41568 // TAX-101596 // TAX-98709	cyanidin dimalonylglucoside biosynthesis	PWY-7452	TAX-4210	
PWY-7052	TAX-103690 // TAX-62977 // TAX-113355 // TAX-1148 // TAX-197221	cyanophycin metabolism	PWY-7052	TAX-2	
PWY-8025	TAX-80869 // TAX-47660	cyanuric acid degradation I	PWY-8025	TAX-4751 // TAX-1224	
PWY-5169	TAX-216596	cyanuric acid degradation II	PWY-5169	TAX-4751 // TAX-1224	
PWY-8409	TAX-380649 // TAX-380658 // TAX-91752	cyathin biosynthesis	PWY-8409	TAX-4751	
PWY-8098	TAX-2180	cyclic 2,3-bisphosphoglycerate biosynthesis	PWY-8098	TAX-2157	
PWY-8270	TAX-84588 // TAX-3055 // TAX-1140 // TAX-1148 // ORG-5993	cyclic electron flow	PWY-8270	TAX-1117 // TAX-39119 // TAX-38254 // TAX-29197 // TAX-38410 // TAX-5747 // TAX-2864 // TAX-877183 // TAX-2836 // TAX-3027 // TAX-2830 // TAX-2833 // TAX-3041 // TAX-33682 // TAX-2763 // TAX-2870 // TAX-2825 // TAX-2 // TAX-33090	
PWY-8028	TAX-13818 // TAX-38783 // TAX-3055 // TAX-184914 // TAX-43 // TAX-191579 // TAX-3847 // TAX-61147 // TAX-1384459 // TAX-4097 // TAX-39947 // TAX-4054 // TAX-98588 // TAX-41 // TAX-4577 // ORG-5993	cycloartenol biosynthesis	PWY-8028	TAX-2870 // TAX-5752 // TAX-3035 // TAX-2836 // TAX-554915 // TAX-2763 // TAX-356 // TAX-976 // TAX-29 // TAX-33090	
PWY-8317	TAX-1665 // TAX-1245 // TAX-1459	cyclobis-(1&rarr;6)-&alpha;-nigerosyl biosynthesis	PWY-8317	TAX-2	
PWY-7828	TAX-182640	cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation	PWY-7828	TAX-2	
PWY-8044	TAX-42684 // TAX-67297 // TAX-1245512	cyclohexane-1-carboxyl-CoA biosynthesis	PWY-8044	TAX-201174	cyclohexane-1-carboxylate biosynthesis
PWY-301	TAX-1076	cyclohexane-1-carboxylate degradation (anaerobic)	PWY-301	TAX-1224	anaerobic cyclohexane carboxylate degradation // anaerobic cyclohexane-1-carboxylate degradation
CYCLOHEXANOL-OXIDATION-PWY	TAX-1818 // TAX-279 // TAX-86174 // TAX-287 // TAX-286 // TAX-481 // TAX-1698 // TAX-398520 // TAX-135835 // TAX-40214 // ORG-6002	cyclohexanol degradation	CYCLOHEXANOL-OXIDATION-PWY	TAX-1224 // TAX-201174	
PWY-7482	TAX-67327	cyclooctatin biosynthesis	PWY-7482	TAX-201174	
PWY0-541	TAX-511145	cyclopropane fatty acid (CFA) biosynthesis	PWY0-541	TAX-2	
PWY-8045	TAX-105352 // TAX-1176 // TAX-75695 // TAX-478021 // TAX-587415 // TAX-312883 // TAX-198593	cylindrospermopsin biosynthesis	PWY-8045	TAX-1117	
PWY-6626	TAX-1313 // TAX-216600	cytidine-5'-diphosphate-glycerol biosynthesis	PWY-6626	TAX-2	CDP-2-glycerol biosynthesis
PWY-8163	TAX-40137	cytidylyl copper-molybdenum cofactor biosynthesis	PWY-8163	TAX-2	[CuSMoO2] cluster biosynthesis
PWY-6476	TAX-511145	cytidylyl molybdenum cofactor biosynthesis	PWY-6476	TAX-2	MCD biosynthesis // molybdopterin cytosine dinucleotide biosynthesis
PWY-8165	TAX-511145 // TAX-1061	cytidylyl molybdenum cofactor sulfurylation	PWY-8165	TAX-2 // TAX-2157	sulfo-cytidylyl molybdopterin cofactor biosynthesis // MCD sulfulylation
PWY-8147	TAX-358 // TAX-375 // TAX-190650 // TAX-68909 // TAX-876 // TAX-511145 // TAX-34 // TAX-915 // TAX-5884 // TAX-294 // TAX-48482 // TAX-1061 // TAX-211586 // TAX-5890 // TAX-274 // TAX-670	cytochrome <i>c</i> biogenesis (system I type)	PWY-8147	TAX-556282 // TAX-33630 // TAX-2157 // TAX-1297 // TAX-33090 // TAX-28221 // TAX-1236 // TAX-28216 // TAX-28211	cytochrome <i>c</i> biogenesis
PWY-8146	TAX-224308 // TAX-520 // TAX-3055 // TAX-32025	cytochrome <i>c</i> biogenesis (system II type)	PWY-8146	TAX-28216 // TAX-68525 // TAX-1117 // TAX-201174 // TAX-1239 // TAX-33090	cytochrome <i>c</i> biogenesis
PWY-8145	TAX-6239 // TAX-3052 // TAX-5782 // TAX-7227 // TAX-9606 // TAX-418103 // TAX-4932 // TAX-3066	cytochrome <i>c</i> biogenesis (system III type)	PWY-8145	TAX-4751 // TAX-33208 // TAX-3041 // TAX-554915 // TAX-33630	cytochrome <i>c</i> biogenesis
PWY-2902	TAX-3884 // TAX-4577 // ORG-5993	cytokinin-<i>O</i>-glucosides biosynthesis	PWY-2902	TAX-3193	
PWY-2881	ORG-5993	cytokinins 7-<i>N</i>-glucoside biosynthesis	PWY-2881	TAX-3193	cytokinins conjugates biosynthesis
PWY-2901	ORG-5993	cytokinins 9-<i>N</i>-glucoside biosynthesis	PWY-2901	TAX-3193	
PWY-2841	TAX-4577 // ORG-5993	cytokinins degradation	PWY-2841	TAX-33090	Cytokinins oxidation
PWY-7268	TAX-4932	cytosolic NADPH production (yeast)	PWY-7268	TAX-4751	
PWY0-44	TAX-511145	D-allose degradation	PWY0-44	TAX-2	D-allose catabolism
PWY-7862	TAX-176299	D-altritol and galactitol degradation	PWY-7862	TAX-2	
PWY-8091	TAX-439375 // TAX-218491 // TAX-558270	D-apionate degradation I (xylose isomerase family decarboxylase)	PWY-8091	TAX-2	
PWY-8090	TAX-311403 // TAX-396598	D-apionate degradation II (RLP decarboxylase)	PWY-8090	TAX-2	
PWY-8092	TAX-1042878 // TAX-78245	D-apionate degradation III (RLP transcarboxylase/hydrolase)	PWY-8092	TAX-2	
PWY-8089	TAX-339671 // TAX-435590 // TAX-476272 // TAX-218491 // TAX-558270	D-apiose degradation I	PWY-8089	TAX-2	
PWY-8093	TAX-311403 // TAX-439375 // TAX-396598	D-apiose degradation II (to D-apionate)	PWY-8093	TAX-2	
DARABITOLUTIL-PWY	TAX-498388 // TAX-548 // TAX-573 // TAX-294	D-arabinitol degradation I	DARABITOLUTIL-PWY	TAX-1224	D-arabitol utilization // D-arabitol degradation
PWY-8392	TAX-33945 // TAX-1639	D-arabinitol degradation II	PWY-8392	TAX-1239	D-arabitol utilization II // D-arabitol degradation II
DARABCAT-PWY	TAX-37762	D-arabinose degradation I	DARABCAT-PWY	TAX-2	D-arabinose catabolism
DARABCATK12-PWY	TAX-511145	D-arabinose degradation II	DARABCATK12-PWY	TAX-2	D-arabinose catabolism
PWY-5519	TAX-2287	D-arabinose degradation III	PWY-5519	TAX-183924	
PWY-8331	TAX-863372	D-arabinose degradation IV	PWY-8331	TAX-2	
PWY-8334	TAX-5476 // TAX-4924	D-arabinose degradation V	PWY-8334	TAX-4751	
PWY-6422	TAX-287	D-arginine degradation	PWY-6422	TAX-2	arginine dehydrogenase (ADH) pathway
PWY-7471	TAX-1763573 // ORG-6257	D-carnitine degradation I	PWY-7471	TAX-1224	
PWY-7472	TAX-29440 // ORG-6255	D-carnitine degradation II	PWY-7472	TAX-1224	
PWY-7274	TAX-235466 // TAX-58340	D-cycloserine biosynthesis	PWY-7274	TAX-2062	
PWY-8300		D-cycloserine inhibition of pyridoxal 5'-phosphate	PWY-8300	TAX-2759 // TAX-2 // TAX-2157	D-cycloserine inhibition of PLP
PWY-7872	TAX-498761	D-erythronate degradation I	PWY-7872	TAX-2	
PWY-7873	TAX-71421 // TAX-381666	D-erythronate degradation II	PWY-7873	TAX-2	
PWY-7242	TAX-63363 // TAX-1423 // TAX-1488 // TAX-1299 // TAX-511145 // TAX-727 // TAX-287 // TAX-2336	D-fructuronate degradation	PWY-7242	TAX-2	
GALACTARDEG-PWY	TAX-511145	D-galactarate degradation I	GALACTARDEG-PWY	TAX-2	D-galactarate catabolism
PWY-6497	TAX-62977 // TAX-176299 // TAX-358 // TAX-80866 // TAX-303 // TAX-306 // TAX-317	D-galactarate degradation II	PWY-6497	TAX-2	
GALACTCAT-PWY	TAX-511145 // TAX-2287 // TAX-273057 // ORG-5916	D-galactonate degradation	GALACTCAT-PWY	TAX-2157 // TAX-2	D-galactonate catabolism
PWY-7395	TAX-83334 // TAX-37762 // TAX-498388	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	PWY-7395	TAX-1224	
PWY-6317	TAX-511145 // TAX-3847 // TAX-272634 // TAX-1308 // TAX-3906 // ORG-5993	D-galactose degradation I (Leloir pathway)	PWY-6317	TAX-4751 // TAX-3193 // TAX-2	Leloir pathway
GALDEG-PWY	TAX-354 // TAX-304 // TAX-294 // TAX-382 // TAX-40324	D-galactose degradation II	GALDEG-PWY	TAX-1224	De Ley-Doudoroff pathway
PWY-6693	TAX-334564 // TAX-5061 // TAX-380704 // TAX-51453	D-galactose degradation IV	PWY-6693	TAX-4751	
PWY-3821	TAX-3656 // TAX-3659 // TAX-3847 // TAX-4530 // TAX-3906 // ORG-5993	D-galactose detoxification	PWY-3821	TAX-3193	
GALACTUROCAT-PWY	TAX-556 // TAX-511145 // TAX-554	D-galacturonate degradation I	GALACTUROCAT-PWY	TAX-2	D-galacturonate catabolism // D-galacturonate degradation
PWY-6486	TAX-176299 // TAX-358 // TAX-80866 // TAX-303 // TAX-306 // TAX-317	D-galacturonate degradation II	PWY-6486	TAX-2	&alpha;-ketoglutarate pathway
PWY-8391	TAX-303 // TAX-306 // TAX-317 // TAX-329	D-galacturonate degradation III	PWY-8391	TAX-80864 // TAX-119060 // TAX-135621	
PWY-6491	TAX-5061 // TAX-162425 // TAX-51453	D-galacturonate degradation IV	PWY-6491	TAX-4751	
GLUCARDEG-PWY	TAX-548 // TAX-511145	<i>D</i>-glucarate degradation I	GLUCARDEG-PWY	TAX-2	<i>D</i>-glucarate catabolism
PWY-6499	TAX-62977 // TAX-176299 // TAX-358 // TAX-80866 // TAX-303 // TAX-306 // TAX-317	D-glucarate degradation II	PWY-6499	TAX-2	
GLUCONSUPER-PWY	TAX-511145	D-gluconate degradation	GLUCONSUPER-PWY	TAX-33154 // TAX-2	gluconate utilization
PWY-7310	TAX-588858	D-glucosaminate degradation	PWY-7310	TAX-2	
