module_id	module_name
M00921	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin
M00922	CMP-Neu5Ac biosynthesis
M00923	UDP-L-FucNAm biosynthesis
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide
M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme
M00927	Gibberellin A12 biosynthesis, GAPP => GA12
M00928	Gibberellin A4/A1 biosynthesis, GA12 => GA4 / GA53 => GA1
M00929	Gibberellin A1 biosynthesis, GGPP => GA1
M00930	Menaquinone biosynthesis, futalosine pathway
M00931	Menaquinone biosynthesis, modified futalosine pathway
M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol
M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol
M00934	Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II
M00935	Methanofuran biosynthesis
M00936	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin
M00937	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1
RM00101	2-Oxocarboxylic acid chain extension by tricarboxylic acid pathway
RM00102	2-Oxocarboxylic acid chain extension by tricarboxylic acid pathway
RM00103	2-Oxocarboxylic acid chain extension by tricarboxylic acid pathway
RM00201	Carboxyl to amino conversion using protective N-acetyl group (basic amino acid synthesis)
RM00301	Methyl to carboxyl conversion on aromatic ring
RM00401	Dihydroxylation of aromatic ring, type 1 (dioxygenase and dehydrogenase reactions)
RM00402	Dihydroxylation of aromatic ring, type 1 (dioxygenase and dehydrogenase reactions)
RM00403	Dihydroxylation of aromatic ring, type 1 (dioxygenase and dehydrogenase reactions)
RM00501	Dihydroxylation of aromatic ring, type 1a (dioxygenase and decarboxylating dehydrogenase reactions)
RM00502	Dihydroxylation of aromatic ring, type 1a (dioxygenase and decarboxylating dehydrogenase reactions)
RM00601	Dihydroxylation of aromatic ring, type 2 (two monooxygenase reactions)
RM00602	Dihydroxylation of aromatic ring, type 2 (two monooxygenase reactions)
RM00701	Dihydroxylation of aromatic ring, type 3 (dealkylation and monooxygenase reactions)
RM00702	Dihydroxylation of aromatic ring, type 3 (dealkylation and monooxygenase reactions)
RM00801	Ortho-cleavage of dihydroxylated aromatic ring (beta-ketoadipate pathway)
RM00802	Ortho-cleavage of dihydroxylated aromatic ring (beta-ketoadipate pathway)
RM00803	Ortho-cleavage of dihydroxylated aromatic ring (beta-ketoadipate pathway)
RM00901	Meta-cleavage of dihydroxylated aromatic ring
RM00902	Meta-cleavage of dihydroxylated aromatic ring
RM00903	Meta-cleavage of dihydroxylated aromatic ring
RM01001	Dihydroxylation and meta-cleavage of aromatic ring, type 1
RM01002	Dihydroxylation and meta-cleavage of aromatic ring, type 1
RM01003	Dihydroxylation and meta-cleavage of aromatic ring, type 1
RM01101	Dihydroxylation and meta-cleavage of aromatic ring, type 1b
RM01102	Dihydroxylation and meta-cleavage of aromatic ring, type 1b
RM01103	Dihydroxylation and meta-cleavage of aromatic ring, type 1b
RM01201	Dihydroxylation and meta-cleavage of aromatic ring, type 3a
RM01301	Ortho-cleavage of aromatic ring, type 4x
RM01401	Ring removal from polycyclic aromatic ring
RM01501	Methyl to carboxyl conversion on aromatic ring, anaerobic
RM01601	Ring cleavage via beta oxidation, anaerobic
RM01701	Ring cleavage via Baeyer-Villiger oxidation
RM01702	Ring cleavage via Baeyer-Villiger oxidation
RM01801	Beta oxidation in acyl-CoA degradation
RM01802	Beta oxidation in acyl-CoA degradation
RM01803	Beta oxidation in acyl-CoA degradation
RM01804	Beta oxidation in acyl-CoA degradation
RM01805	Beta oxidation in acyl-CoA degradation
RM01901	Acyl-CoA conversion via dicarboxylate semialdehyde
RM01902	Acyl-CoA conversion via dicarboxylate semialdehyde
RM01903	Acyl-CoA conversion via dicarboxylate semialdehyde
RM02001	Fatty acid synthesis using acetyl-CoA (reversal of RM018)
RM02002	Fatty acid synthesis using acetyl-CoA (reversal of RM018)
RM02101	Fatty acid synthesis using malonyl-CoA
RM02102	Fatty acid synthesis using malonyl-CoA
RM02201	Nucleotide sugar biosynthesis, type 1
RM02301	Nucleotide sugar biosynthesis, type 2
RM02302	Nucleotide sugar biosynthesis, type 2
RM02401	Pyrimidine degradation
RM02501	Conversion of amino acid moiety to carboxyl group
RM02601	Hydoxylation and decarboxylation motif
RM02701	Hydroxylation and methylation motif
RM02801	Flavonoid synthesis
RM02901	Pterocarpan synthesis
RM03001	Glucosinolate synthesis
RM03101	Oxime to acetate conversion
RM03201	Carboxyl to amino conversion without using protective group
RM03301	Branched-chain addition (branched-chain amino acid synthesis)
RM03401	Sugar degradation to aldehyde and pyruvate
RM03501	Transamination and N,N-dimethylation in polyketide biosynthesis
RM03502	Transamination and N,N-dimethylation in polyketide biosynthesis
RM03601	Epimerization and reduction in deoxysugar biosynthesis
RM03602	Epimerization and reduction in deoxysugar biosynthesis
RM03603	Epimerization and reduction in deoxysugar biosynthesis
RM03701	Deoxygenation (transamination and deamination) in deoxysugar biosynthesis
RM03801	Deoxygenation (dehydration and reduction) in deoxysugar biosynthesis
RM03901	Nucleotide sugar biosynthesis, type 3
RM04001	Nucleotide sugar interconversion and sugar activation
RM04002	Nucleotide sugar interconversion and sugar activation
RM04101	Inversion of the carbon chain
RM90101	Reductive amination of 2-oxocarboxylic acid
RM90201	Dihydroxylation of aromatic ring, type 1b (single dioxygenase reaction)
RM90301	Oxidative decarboxylation of 2-oxoacid to form its CoA derivative
M00199	L-Arabinose/lactose transport system [DEPRECATED]
M00333	Type IV secretion system [DEPRECATED]
M00490	DEPRECATED PATHWAY/MODULE
M00197	DEPRECATED PATHWAY/MODULE
M00498	DEPRECATED PATHWAY/MODULE
M00200	DEPRECATED PATHWAY/MODULE
M00582	DEPRECATED PATHWAY/MODULE
M00276	DEPRECATED PATHWAY/MODULE
M00429	DEPRECATED PATHWAY/MODULE
M00189	DEPRECATED PATHWAY/MODULE
M00221	DEPRECATED PATHWAY/MODULE
M00491	DEPRECATED PATHWAY/MODULE
M00216	DEPRECATED PATHWAY/MODULE
M00188	DEPRECATED PATHWAY/MODULE
M00495	DEPRECATED PATHWAY/MODULE
M00427	DEPRECATED PATHWAY/MODULE
M00254	DEPRECATED PATHWAY/MODULE
M00207	DEPRECATED PATHWAY/MODULE
M00334	DEPRECATED PATHWAY/MODULE
M00194	DEPRECATED PATHWAY/MODULE
M00214	DEPRECATED PATHWAY/MODULE
M00738	DEPRECATED PATHWAY/MODULE
M00298	DEPRECATED PATHWAY/MODULE
M00500	DEPRECATED PATHWAY/MODULE
M00236	DEPRECATED PATHWAY/MODULE
M00400	DEPRECATED PATHWAY/MODULE
M00511	DEPRECATED PATHWAY/MODULE
M00178	DEPRECATED PATHWAY/MODULE
M00566	DEPRECATED PATHWAY/MODULE
M00266	DEPRECATED PATHWAY/MODULE
M00603	DEPRECATED PATHWAY/MODULE
M00602	DEPRECATED PATHWAY/MODULE
M00717	DEPRECATED PATHWAY/MODULE
M00439	DEPRECATED PATHWAY/MODULE
M00275	DEPRECATED PATHWAY/MODULE
M00179	DEPRECATED PATHWAY/MODULE
M00279	DEPRECATED PATHWAY/MODULE
M00196	DEPRECATED PATHWAY/MODULE
M00255	DEPRECATED PATHWAY/MODULE
M00282	DEPRECATED PATHWAY/MODULE
M00440	DEPRECATED PATHWAY/MODULE
M00506	DEPRECATED PATHWAY/MODULE
M00245	DEPRECATED PATHWAY/MODULE
M00242	DEPRECATED PATHWAY/MODULE
M00336	DEPRECATED PATHWAY/MODULE
M00514	DEPRECATED PATHWAY/MODULE
M00728	DEPRECATED PATHWAY/MODULE
M00663	DEPRECATED PATHWAY/MODULE
M00193	DEPRECATED PATHWAY/MODULE
M00593	DEPRECATED PATHWAY/MODULE
M00519	DEPRECATED PATHWAY/MODULE
M00485	DEPRECATED PATHWAY/MODULE
M00211	DEPRECATED PATHWAY/MODULE
M00222	DEPRECATED PATHWAY/MODULE
M00080	DEPRECATED PATHWAY/MODULE
M00205	DEPRECATED PATHWAY/MODULE
M00199	DEPRECATED PATHWAY/MODULE
M00581	DEPRECATED PATHWAY/MODULE
M00260	DEPRECATED PATHWAY/MODULE
M00202	DEPRECATED PATHWAY/MODULE
M00237	DEPRECATED PATHWAY/MODULE
M00360	DEPRECATED PATHWAY/MODULE
M00699	DEPRECATED PATHWAY/MODULE
M00212	DEPRECATED PATHWAY/MODULE
M00234	DEPRECATED PATHWAY/MODULE
M00361	DEPRECATED PATHWAY/MODULE
M00295	DEPRECATED PATHWAY/MODULE
M00403	DEPRECATED PATHWAY/MODULE
M00228	DEPRECATED PATHWAY/MODULE
M00701	DEPRECATED PATHWAY/MODULE
M00330	DEPRECATED PATHWAY/MODULE
M00657	DEPRECATED PATHWAY/MODULE
M00667	DEPRECATED PATHWAY/MODULE
M00493	DEPRECATED PATHWAY/MODULE
M00267	DEPRECATED PATHWAY/MODULE
M00656	DEPRECATED PATHWAY/MODULE
M00589	DEPRECATED PATHWAY/MODULE
M00208	DEPRECATED PATHWAY/MODULE
M00185	DEPRECATED PATHWAY/MODULE
M00722	DEPRECATED PATHWAY/MODULE
M00223	DEPRECATED PATHWAY/MODULE
M00354	DEPRECATED PATHWAY/MODULE
M00747	DEPRECATED PATHWAY/MODULE
M00497	DEPRECATED PATHWAY/MODULE
M00335	DEPRECATED PATHWAY/MODULE
M00477	DEPRECATED PATHWAY/MODULE
M00362	DEPRECATED PATHWAY/MODULE
M00459	DEPRECATED PATHWAY/MODULE
M00648	DEPRECATED PATHWAY/MODULE
M00516	DEPRECATED PATHWAY/MODULE
M00325	DEPRECATED PATHWAY/MODULE
M00450	DEPRECATED PATHWAY/MODULE
M00210	DEPRECATED PATHWAY/MODULE
M00238	DEPRECATED PATHWAY/MODULE
M00392	DEPRECATED PATHWAY/MODULE
M00727	DEPRECATED PATHWAY/MODULE
M00239	DEPRECATED PATHWAY/MODULE
M00454	DEPRECATED PATHWAY/MODULE
M00256	DEPRECATED PATHWAY/MODULE
M00394	DEPRECATED PATHWAY/MODULE
M00247	DEPRECATED PATHWAY/MODULE
M00190	DEPRECATED PATHWAY/MODULE
M00299	DEPRECATED PATHWAY/MODULE
M00183	DEPRECATED PATHWAY/MODULE
M00434	DEPRECATED PATHWAY/MODULE
M00721	DEPRECATED PATHWAY/MODULE
M00729	DEPRECATED PATHWAY/MODULE
M00452	DEPRECATED PATHWAY/MODULE
M00355	DEPRECATED PATHWAY/MODULE
M00743	DEPRECATED PATHWAY/MODULE
M00646	DEPRECATED PATHWAY/MODULE
M00499	DEPRECATED PATHWAY/MODULE
M00258	DEPRECATED PATHWAY/MODULE
M00430	DEPRECATED PATHWAY/MODULE
M00628	DEPRECATED PATHWAY/MODULE
M00695	DEPRECATED PATHWAY/MODULE
M00250	DEPRECATED PATHWAY/MODULE
M00492	DEPRECATED PATHWAY/MODULE
M00240	DEPRECATED PATHWAY/MODULE
M00458	DEPRECATED PATHWAY/MODULE
M00271	DEPRECATED PATHWAY/MODULE
M00273	DEPRECATED PATHWAY/MODULE
M00290	DEPRECATED PATHWAY/MODULE
M00647	DEPRECATED PATHWAY/MODULE
M00331	DEPRECATED PATHWAY/MODULE
M00320	DEPRECATED PATHWAY/MODULE
M00198	DEPRECATED PATHWAY/MODULE
M00349	DEPRECATED PATHWAY/MODULE
M00709	DEPRECATED PATHWAY/MODULE
X.1	Unknown
