Dataset,Module,Feature,Feature description,Increased in?
"CRC (Zeller, 2014)",4,T__Solobacterium.moorei,[T] Solobacterium_moorei,non-significant
"ESRD (Wang, 2020)",1,M__....Menthone,[M] ....Menthone,disease
"ESRD (Wang, 2020)",2,M__.S..3.4.Dimethylpentanol,[M] .S..3.4.Dimethylpentanol,disease
"ESRD (Wang, 2020)",1,M__1.3.Cyclohexadiene..5..1.5.dimethyl.4.hexenyl..2.methyl....S..R..S....,[M] 1.3.Cyclohexadiene..5..1.5.dimethyl.4.hexenyl..2.methyl....S..R..S....,disease
"ESRD (Wang, 2020)",1,M__1.7.Di.3.ethylphenyl..2.2.4.4.6.6.hexamethyl.1.3.5.7.tetraoxa.2.4.6.trisilaheptane,[M] 1.7.Di.3.ethylphenyl..2.2.4.4.6.6.hexamethyl.1.3.5.7.tetraoxa.2.4.6.trisilaheptane,healthy
"ESRD (Wang, 2020)",2,M__1.Hexadecanol,[M] 1.Hexadecanol,disease
"ESRD (Wang, 2020)",2,M__13.Methyltetradecanal,[M] 13.Methyltetradecanal,non-significant
"ESRD (Wang, 2020)",3,M__2.4.Imidazolidinedione..1.methyl.,[M] 2.4.Imidazolidinedione..1.methyl.,disease
"ESRD (Wang, 2020)",1,M__2.Butanone..3.methyl.,[M] 2.Butanone..3.methyl.,disease
"ESRD (Wang, 2020)",1,M__2.Heptanone..5.methyl.,[M] 2.Heptanone..5.methyl.,disease
"ESRD (Wang, 2020)",1,M__2.Oxohexane,[M] 2.Oxohexane,disease
"ESRD (Wang, 2020)",4,M__2.Tetradecanone,[M] 2.Tetradecanone,non-significant
"ESRD (Wang, 2020)",2,M__5.Tetradecene...E..,[M] 5.Tetradecene...E..,non-significant
"ESRD (Wang, 2020)",1,M__Benzaldehyde..3.chloro.5.methoxy.4...4.methylphenyl.methoxy..,[M] Benzaldehyde..3.chloro.5.methoxy.4...4.methylphenyl.methoxy..,disease
"ESRD (Wang, 2020)",1,M__Benzene..1.ethyl.4.methyl.,[M] Benzene..1.ethyl.4.methyl.,healthy
"ESRD (Wang, 2020)",1,M__Butanoic.acid..butyl.ester,[M] Butanoic.acid..butyl.ester,healthy
"ESRD (Wang, 2020)",2,M__Cyclohexanol..4.ethenyl.4.methyl.3..1.methylethenyl..,[M] Cyclohexanol..4.ethenyl.4.methyl.3..1.methylethenyl..,non-significant
"ESRD (Wang, 2020)",3,M__Dimethyl.sulfone,[M] Dimethyl.sulfone,non-significant
"ESRD (Wang, 2020)",2,M__E.2.Hexadecacen.1.ol,[M] E.2.Hexadecacen.1.ol,non-significant
"ESRD (Wang, 2020)",1,M__Ethanol..1..2.butoxyethoxy..,[M] Ethanol..1..2.butoxyethoxy..,healthy
"ESRD (Wang, 2020)",2,M__Octadecane,[M] Octadecane,non-significant
"ESRD (Wang, 2020)",2,M__Octadecanol,[M] Octadecanol,disease
"ESRD (Wang, 2020)",1,M__Oxime...methoxy.phenyl._,[M] Oxime...methoxy.phenyl._,disease
"ESRD (Wang, 2020)",1,M__Pentadecanal,[M] Pentadecanal,healthy
"ESRD (Wang, 2020)",1,M__Pentanal..2.4.dimethyl.,[M] Pentanal..2.4.dimethyl.,disease
"ESRD (Wang, 2020)",1,M__Propionic.acid,[M] Propionic.acid,healthy
"ESRD (Wang, 2020)",1,M__Quinoline,[M] Quinoline,disease
"ESRD (Wang, 2020)",3,M__Toluene,[M] Toluene,healthy
"ESRD (Wang, 2020)",2,M__n.Pentadecanol,[M] n.Pentadecanol,non-significant
"ESRD (Wang, 2020)",1,P__PWY.5484,[P] glycolysis II (from fructose 6-phosphate),disease
"ESRD (Wang, 2020)",1,P__PWY.5676,[P] acetyl-CoA fermentation to butanoate,disease
"ESRD (Wang, 2020)",1,P__PWY.5686_Cluster281,[P] UMP biosynthesis I [Clustered features],healthy
"ESRD (Wang, 2020)",4,P__PWY.5941,[P] glycogen degradation II,non-significant
"ESRD (Wang, 2020)",1,P__PWY.6385,[P] peptidoglycan biosynthesis III (mycobacteria),healthy
"ESRD (Wang, 2020)",1,P__PWY.6897,[P] thiamine diphosphate salvage II,healthy
"ESRD (Wang, 2020)",1,P__PWY.6901,[P] superpathway of glucose and xylose degradation,disease
"ESRD (Wang, 2020)",2,P__PWY.6969,[P] TCA cycle V (2-oxoglutarate synthase),non-significant
"ESRD (Wang, 2020)",3,P__PWY.7111,[P] pyruvate fermentation to isobutanol (engineered),disease
"ESRD (Wang, 2020)",2,P__PWY.7220_Cluster354,[P] adenosine deoxyribonucleotides _de novo_ biosynthesis II [Clustered features],disease
"ESRD (Wang, 2020)",1,P__PWY.7237,"[P] _myo_-, _chiro_- and _scyllo_-inositol degradation",healthy
"ESRD (Wang, 2020)",1,P__PWY.7953,[P] UDP-MurNAc-pentapeptide biosynthesis III,healthy
"ESRD (Wang, 2020)",1,P__PWY.8004,[P] Entner-Doudoroff pathway I,disease
"ESRD (Wang, 2020)",3,P__PWY.I9,[P] L-cysteine biosynthesis VI (reverse transsulfuration),disease
"ESRD (Wang, 2020)",2,P__TRNA.CHARGING.PWY,[P] tRNA charging,healthy
"ESRD (Wang, 2020)",2,T__Alistipes_putredinis,[T] Alistipes_putredinis,non-significant
"ESRD (Wang, 2020)",2,T__Barnesiella_intestinihominis,[T] Barnesiella_intestinihominis,non-significant
"ESRD (Wang, 2020)",1,T__Coprococcus_eutactus,[T] Coprococcus_eutactus,healthy
"ESRD (Wang, 2020)",1,T__Eggerthella_lenta,[T] Eggerthella_lenta,disease
"ESRD (Wang, 2020)",1,T__Eubacterium_ramulus,[T] Eubacterium_ramulus,healthy
"ESRD (Wang, 2020)",2,T__Eubacterium_siraeum,[T] Eubacterium_siraeum,disease
"ESRD (Wang, 2020)",2,T__Faecalibacterium_prausnitzii,[T] Faecalibacterium_prausnitzii,non-significant
"ESRD (Wang, 2020)",1,T__Flavonifractor_plautii,[T] Flavonifractor_plautii,disease
"ESRD (Wang, 2020)",4,T__Fusicatenibacter_saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"ESRD (Wang, 2020)",1,T__Gordonibacter_pamelaeae,[T] Gordonibacter_pamelaeae,disease
"ESRD (Wang, 2020)",1,T__Lachnospira_pectinoschiza,[T] Lachnospira_pectinoschiza,healthy
"ESRD (Wang, 2020)",1,T__Megamonas_funiformis,[T] Megamonas_funiformis,healthy
"ESRD (Wang, 2020)",1,T__Megamonas_hypermegale,[T] Megamonas_hypermegale,healthy
"ESRD (Wang, 2020)",2,T__Odoribacter_splanchnicus,[T] Odoribacter_splanchnicus,non-significant
"ESRD (Wang, 2020)",2,T__Oscillibacter_sp_57_20,[T] Oscillibacter_sp_57_20,healthy
"ESRD (Wang, 2020)",1,T__Prevotella_copri,[T] Prevotella_copri,healthy
"ESRD (Wang, 2020)",1,T__Roseburia_faecis,[T] Roseburia_faecis,healthy
"ESRD (Wang, 2020)",1,T__Roseburia_intestinalis,[T] Roseburia_intestinalis,healthy
"ESRD (Wang, 2020)",1,T__Ruminococcus_callidus,[T] Ruminococcus_callidus,healthy
"ESRD (Wang, 2020)",1,T__Ruthenibacterium_lactatiformans,[T] Ruthenibacterium_lactatiformans,disease
"ESRD (Wang, 2020)",3,T__Streptococcus_salivarius,[T] Streptococcus_salivarius,non-significant
"ESRD (Wang, 2020)",1,T__Turicimonas_muris,[T] Turicimonas_muris,healthy
"HT (Li, 2017)",1,P__COBALSYN.PWY,[P] SP of adenosylcobalamin salvage from cobinamide I,healthy
"HT (Li, 2017)",1,P__GALACT.GLUCUROCAT.PWY,[P] superpathway of hexuronide and hexuronate degradation,healthy
"HT (Li, 2017)",1,P__GALACTUROCAT.PWY,[P] D-galacturonate degradation I,healthy
"HT (Li, 2017)",1,P__GLUCUROCAT.PWY,[P] superpathway of &beta;-D-glucuronosides degradation,healthy
"HT (Li, 2017)",1,P__PWY.6507,[P] 4-deoxy-L-_threo_-hex-4-enopyranuronate degradation,healthy
"HT (Li, 2017)",1,P__PWY0.1296,[P] purine ribonucleosides degradation,healthy
"HT (Li, 2017)",1,T__Bacteroides.intestinalis,[T] Bacteroides_intestinalis,healthy
"HT (Li, 2017)",1,T__Faecalibacterium.prausnitzii,[T] Faecalibacterium_prausnitzii,non-significant
"HT (Li, 2017)",1,T__Gemmiger.formicilis,[T] Gemmiger_formicilis,non-significant
"HT (Li, 2017)",1,T__Holdemania.filiformis,[T] Holdemania_filiformis,healthy
"HT (Li, 2017)",1,T__Prevotella.copri,[T] Prevotella_copri,non-significant
"HT (Li, 2017)",1,T__Roseburia.hominis,[T] Roseburia_hominis,healthy
"IGT (Karlsson, 2013)",1,P__GOLPDLCAT.PWY,"[P] SP of glycerol deg. to 1,3-propanediol",disease
"IGT (Karlsson, 2013)",1,P__HOMOSER.METSYN.PWY,[P] L-methionine biosynthesis I,non-significant
"IGT (Karlsson, 2013)",1,P__MET.SAM.PWY_Cluster214,[P] superpathway of _S_-adenosyl-L-methionine biosynthesis [Clustered features],non-significant
"IGT (Karlsson, 2013)",2,P__NAGLIPASYN.PWY,[P] lipid IV[A] biosynthesis,non-significant
"IGT (Karlsson, 2013)",3,P__P108.PWY,[P] pyruvate fermentation to propanoate I,non-significant
"IGT (Karlsson, 2013)",1,P__PWY.5347,[P] superpathway of L-methionine biosynthesis (transsulfuration),non-significant
"IGT (Karlsson, 2013)",4,P__PWY.5850_Cluster282,[P] superpathway of menaquinol-6 biosynthesis [Clustered features],healthy
"IGT (Karlsson, 2013)",2,P__PWY.6147,[P] 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,non-significant
"IGT (Karlsson, 2013)",4,P__PWY.7254_Cluster351,[P] TCA cycle VII (acetate-producers) [Clustered features],non-significant
"IGT (Karlsson, 2013)",2,P__PWY.7539,[P] 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III,non-significant
"IGT (Karlsson, 2013)",2,P__PWY0.845,[P] SP of pyridoxal 5'-phosphate biosynthesis/salvage,non-significant
"IGT (Karlsson, 2013)",2,P__PYRIDOXSYN.PWY,[P] pyridoxal 5'-phosphate biosynthesis I,non-significant
"IGT (Karlsson, 2013)",3,T__Alistipes.putredinis,[T] Alistipes_putredinis,non-significant
"IGT (Karlsson, 2013)",1,T__Anaerostipes.hadrus,[T] Anaerostipes_hadrus,non-significant
"IGT (Karlsson, 2013)",2,T__Bacteroides.ovatus,[T] Bacteroides_ovatus,non-significant
"IGT (Karlsson, 2013)",2,T__Bacteroides.uniformis,[T] Bacteroides_uniformis,non-significant
"IGT (Karlsson, 2013)",2,T__Bacteroides.xylanisolvens,[T] Bacteroides_xylanisolvens,non-significant
"IGT (Karlsson, 2013)",3,T__Butyricimonas.synergistica,[T] Butyricimonas_synergistica,non-significant
"IGT (Karlsson, 2013)",4,T__Clostridium.disporicum,[T] Clostridium_disporicum,non-significant
"IGT (Karlsson, 2013)",1,T__Dorea.formicigenerans,[T] Dorea_formicigenerans,non-significant
"IGT (Karlsson, 2013)",4,T__Enterocloster.asparagiformis,[T] Enterocloster_asparagiformis,non-significant
"IGT (Karlsson, 2013)",4,T__Escherichia.coli,[T] Escherichia_coli,non-significant
"IGT (Karlsson, 2013)",2,T__Parabacteroides.distasonis,[T] Parabacteroides_distasonis,non-significant
"ME-CFS (Nagy-Szakal, 2017)",1,P__P163.PWY,[P] L-lysine fermentation to acetate and butanoate,disease
"ME-CFS (Nagy-Szakal, 2017)",1,P__PWY.5676,[P] acetyl-CoA fermentation to butanoate,non-significant
"ME-CFS (Nagy-Szakal, 2017)",1,P__PWY.6588,[P] pyruvate fermentation to acetone,disease
"ME-CFS (Nagy-Szakal, 2017)",1,T__Anaerotruncus.colihominis,[T] Anaerotruncus_colihominis,non-significant
"ME-CFS (Nagy-Szakal, 2017)",1,T__Bilophila.wadsworthia,[T] Bilophila_wadsworthia,non-significant
"ME-CFS (Nagy-Szakal, 2017)",1,T__Flavonifractor.plautii,[T] Flavonifractor_plautii,disease
"ME-CFS (Nagy-Szakal, 2017)",1,T__Intestinimonas.butyriciproducens,[T] Intestinimonas_butyriciproducens,disease
MS (MetaCardis),1,P__M00079,[P] Keratan sulfate degradation,non-significant
MS (MetaCardis),2,P__M00127,"[P] Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP",non-significant
MS (MetaCardis),3,P__M00189,[P] M00189 DEPRECATED PATHWAY/MODULE,disease
MS (MetaCardis),2,P__M00207,[P] M00207 DEPRECATED PATHWAY/MODULE,healthy
MS (MetaCardis),1,P__M00376,[P] 3-Hydroxypropionate bi-cycle,non-significant
MS (MetaCardis),1,P__M00485,[P] M00485 DEPRECATED PATHWAY/MODULE,non-significant
MS (MetaCardis),3,P__M00566,[P] M00566 DEPRECATED PATHWAY/MODULE,non-significant
MS (MetaCardis),1,P__M00698,"[P] Multidrug resistance, efflux pump BpeEF-OprC",non-significant
MS (MetaCardis),1,S__SERUM_ABS_2_oleoylglycerol,[S] SERUM_ABS_2_oleoylglycerol,disease
MS (MetaCardis),1,S__SERUM_ABS_D_glucose_1,[S] SERUM_ABS_D_glucose_1,disease
MS (MetaCardis),1,S__SERUM_ABS_D_mannose_1,[S] SERUM_ABS_D_mannose_1,disease
MS (MetaCardis),1,S__SERUM_ABS_alpha_ketoglutaric_acid,[S] SERUM_ABS_alpha_ketoglutaric_acid,disease
MS (MetaCardis),2,S__SERUM_ABS_citric_acid,[S] SERUM_ABS_citric_acid,non-significant
MS (MetaCardis),1,S__SERUM_ABS_lactamide_1,[S] SERUM_ABS_lactamide_1,disease
MS (MetaCardis),2,S__SERUM_ABS_methyl_linolenate,[S] SERUM_ABS_methyl_linolenate,non-significant
MS (MetaCardis),2,S__SERUM_ABS_p_cresol,[S] SERUM_ABS_p_cresol,non-significant
MS (MetaCardis),2,S__SERUM_ABS_phytanic_acid,[S] SERUM_ABS_phytanic_acid,non-significant
MS (MetaCardis),1,S__SERUM_ABS_pyruvic_acid,[S] SERUM_ABS_pyruvic_acid,disease
MS (MetaCardis),2,S__SERUM_NMR_ABSOLUTE_3.Hydroxybutyric_acid,[S] SERUM_NMR_ABSOLUTE_3.Hydroxybutyric_acid,non-significant
MS (MetaCardis),1,S__SERUM_NMR_ABSOLUTE_Glutamic_acid,[S] SERUM_NMR_ABSOLUTE_Glutamic_acid,disease
MS (MetaCardis),1,S__SERUM_NMR_ABSOLUTE_Isoleucine,[S] SERUM_NMR_ABSOLUTE_Isoleucine,disease
MS (MetaCardis),1,S__SERUM_NMR_ABSOLUTE_Pyruvic_acid,[S] SERUM_NMR_ABSOLUTE_Pyruvic_acid,disease
MS (MetaCardis),1,T__Bacteroides_dorei_vulgatus,[T] Bacteroides_dorei_vulgatus,non-significant
MS (MetaCardis),1,T__Bilophila_wadsworthia,[T] Bilophila_wadsworthia,disease
MS (MetaCardis),1,T__Clostridium_bolteae,[T] Clostridium_bolteae,non-significant
MS (MetaCardis),3,T__Collinsella_aerofaciens,[T] Collinsella_aerofaciens,disease
MS (MetaCardis),3,T__Coprococcus_catus,[T] Coprococcus_catus,non-significant
MS (MetaCardis),3,T__Dorea_formicigenerans,[T] Dorea_formicigenerans,non-significant
MS (MetaCardis),3,T__Eubacterium_hallii,[T] Eubacterium_hallii,disease
MS (MetaCardis),1,T__Parabacteroides_merdae,[T] Parabacteroides_merdae,disease
MS (MetaCardis),2,T__Prevotella_copri,[T] Prevotella_copri,non-significant
MS (MetaCardis),1,T__Pseudoflavonifractor_capillosus,[T] Pseudoflavonifractor_capillosus,disease
MS (MetaCardis),1,T__Ruminococcus_sp__5_1_39BFAA,[T] Ruminococcus_sp__5_1_39BFAA,disease
MS (MetaCardis),2,T__motu_linkage_group_103,[T] motu_linkage_group_103,healthy
MS (MetaCardis),2,T__motu_linkage_group_120,[T] motu_linkage_group_120,non-significant
MS (MetaCardis),2,T__motu_linkage_group_206,[T] motu_linkage_group_206,non-significant
MS (MetaCardis),1,T__motu_linkage_group_349,[T] motu_linkage_group_349,disease
MS (MetaCardis),1,T__motu_linkage_group_456,[T] motu_linkage_group_456,disease
MS (MetaCardis),2,T__motu_linkage_group_646,[T] motu_linkage_group_646,healthy
T2D (MetaCardis),1,P__M00009,"[P] Citrate cycle (TCA cycle, Krebs cycle)",disease
T2D (MetaCardis),1,P__M00035,[P] Methionine degradation,healthy
T2D (MetaCardis),1,P__M00168,"[P] CAM (Crassulacean acid metabolism), dark",disease
T2D (MetaCardis),1,P__M00171,"[P] C4-dicarboxylic acid cycle, NAD - malic enzyme type",healthy
T2D (MetaCardis),2,P__M00185,[P] M00185 DEPRECATED PATHWAY/MODULE,non-significant
T2D (MetaCardis),1,P__M00189,[P] M00189 DEPRECATED PATHWAY/MODULE,disease
T2D (MetaCardis),3,P__M00198,[P] M00198 DEPRECATED PATHWAY/MODULE,non-significant
T2D (MetaCardis),3,P__M00275,[P] M00275 DEPRECATED PATHWAY/MODULE,disease
T2D (MetaCardis),3,P__M00276,[P] M00276 DEPRECATED PATHWAY/MODULE,disease
T2D (MetaCardis),4,P__M00373,[P] Ethylmalonyl pathway,non-significant
T2D (MetaCardis),1,P__M00429,[P] M00429 DEPRECATED PATHWAY/MODULE,healthy
T2D (MetaCardis),4,P__M00568,"[P] Catechol ortho-cleavage, catechol => 3-oxoadipate",non-significant
T2D (MetaCardis),4,P__M00641,"[P] Multidrug resistance, efflux pump MexEF-OprN",non-significant
T2D (MetaCardis),1,S__SERUM_ABS_D_glucose_1,[S] SERUM_ABS_D_glucose_1,disease
T2D (MetaCardis),1,S__SERUM_ABS_L_P_lactic_acid,[S] SERUM_ABS_L_P_lactic_acid,disease
T2D (MetaCardis),1,S__SERUM_ABS_indolepropionic_acid,[S] SERUM_ABS_indolepropionic_acid,healthy
T2D (MetaCardis),1,S__SERUM_ABS_lactamide_1,[S] SERUM_ABS_lactamide_1,disease
T2D (MetaCardis),1,S__SERUM_ABS_lactose_1,[S] SERUM_ABS_lactose_1,disease
T2D (MetaCardis),1,S__SERUM_ABS_p_cresol,[S] SERUM_ABS_p_cresol,healthy
T2D (MetaCardis),1,S__SERUM_NMR_ABSOLUTE_Isoleucine,[S] SERUM_NMR_ABSOLUTE_Isoleucine,disease
T2D (MetaCardis),2,S__SERUM_TMAO_TMA,[S] SERUM_TMAO_TMA,non-significant
T2D (MetaCardis),1,T__Bacteroides_dorei_vulgatus,[T] Bacteroides_dorei_vulgatus,disease
T2D (MetaCardis),4,T__Bacteroides_uniformis,[T] Bacteroides_uniformis,non-significant
T2D (MetaCardis),1,T__Bilophila_wadsworthia,[T] Bilophila_wadsworthia,disease
T2D (MetaCardis),1,T__Clostridium_bolteae,[T] Clostridium_bolteae,disease
T2D (MetaCardis),3,T__Clostridium_ramosum,[T] Clostridium_ramosum,disease
T2D (MetaCardis),3,T__Clostridium_sp__HGF2,[T] Clostridium_sp__HGF2,non-significant
T2D (MetaCardis),3,T__Coprococcus_catus,[T] Coprococcus_catus,non-significant
T2D (MetaCardis),2,T__Eubacterium_hallii,[T] Eubacterium_hallii,non-significant
T2D (MetaCardis),2,T__Faecalibacterium_prausnitzii,[T] Faecalibacterium_prausnitzii,non-significant
T2D (MetaCardis),4,T__Prevotella_copri,[T] Prevotella_copri,non-significant
T2D (MetaCardis),2,T__Ruminococcus_bromii,[T] Ruminococcus_bromii,non-significant
T2D (MetaCardis),3,T__Ruminococcus_sp__SR1_5,[T] Ruminococcus_sp__SR1_5,non-significant
T2D (MetaCardis),3,T__X_Ruminococcus__torques,[T] Ruminococcus_torques,disease
T2D (MetaCardis),1,T__motu_linkage_group_103,[T] motu_linkage_group_103,healthy
T2D (MetaCardis),2,T__motu_linkage_group_104,[T] motu_linkage_group_104,non-significant
T2D (MetaCardis),1,T__motu_linkage_group_212,[T] motu_linkage_group_212,healthy
T2D (MetaCardis),1,T__motu_linkage_group_307,[T] motu_linkage_group_307,healthy
T2D (MetaCardis),2,T__motu_linkage_group_310,[T] motu_linkage_group_310,non-significant
T2D (MetaCardis),1,T__motu_linkage_group_517,[T] motu_linkage_group_517,healthy
T2D (MetaCardis),1,T__motu_linkage_group_551,[T] motu_linkage_group_551,disease
T2D (MetaCardis),3,T__motu_linkage_group_624,[T] motu_linkage_group_624,non-significant
"Pre-HT (Li, 2017)",1,P__ANAEROFRUCAT.PWY,[P] homolactic fermentation,non-significant
"Pre-HT (Li, 2017)",1,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster137,[P] catechol degradation to &beta;-ketoadipate [Clustered features],non-significant
"Pre-HT (Li, 2017)",2,P__CENTFERM.PWY_Cluster138,[P] pyruvate fermentation to butanoate [Clustered features],healthy
"Pre-HT (Li, 2017)",1,P__GLYCOLYSIS,[P] glycolysis I (from glucose 6-phosphate),non-significant
"Pre-HT (Li, 2017)",1,P__GOLPDLCAT.PWY,"[P] SP of glycerol deg. to 1,3-propanediol",non-significant
"Pre-HT (Li, 2017)",1,P__P105.PWY,[P] TCA cycle IV (2-oxoglutarate decarboxylase),non-significant
"Pre-HT (Li, 2017)",1,P__P221.PWY,[P] octane oxidation,non-significant
"Pre-HT (Li, 2017)",1,P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY_Cluster213,[P] protocatechuate degradation II [Clustered features],non-significant
"Pre-HT (Li, 2017)",1,P__PWY.3801,[P] sucrose degradation II (sucrose synthase),non-significant
"Pre-HT (Li, 2017)",1,P__PWY.5484,[P] glycolysis II (from fructose 6-phosphate),non-significant
"Pre-HT (Li, 2017)",1,P__PWY.6892,[P] Thiazole component - thiamine diphosphate biosynthesis I,non-significant
"Pre-HT (Li, 2017)",1,P__PWY.7013,"[P] (S)-propane-1,2-diol degradation",non-significant
"Pre-HT (Li, 2017)",2,P__PWY.7209,[P] superpathway of pyrimidine ribonucleosides degradation,non-significant
"Pre-HT (Li, 2017)",1,P__PWY.7254,[P] TCA cycle VII (acetate-producers),non-significant
"Pre-HT (Li, 2017)",1,P__PWY0.845,[P] SP of pyridoxal 5'-phosphate biosynthesis/salvage,non-significant
"Pre-HT (Li, 2017)",1,P__REDCITCYC,[P] TCA cycle VI (Helicobacter),non-significant
"Pre-HT (Li, 2017)",1,P__THISYN.PWY,[P] SP of thiamine diphosphate biosynthesis I,non-significant
"Pre-HT (Li, 2017)",2,T__Actinomyces.sp..ICM47,[T] Actinomyces sp ICM47,non-significant
"Pre-HT (Li, 2017)",1,T__Bacteroides.uniformis,[T] Bacteroides_uniformis,non-significant
"Pre-HT (Li, 2017)",2,T__Bifidobacterium.pseudocatenulatum,[T] Bifidobacterium_pseudocatenulatum,non-significant
"Pre-HT (Li, 2017)",1,T__Bilophila.wadsworthia,[T] Bilophila_wadsworthia,healthy
"Pre-HT (Li, 2017)",1,T__Clostridium.sp..CAG.58,[T] Clostridium sp CAG 58,non-significant
"Pre-HT (Li, 2017)",1,T__Firmicutes.bacterium.CAG.83,[T] Firmicutes bacterium CAG 83,non-significant
"Pre-HT (Li, 2017)",1,T__Holdemania.filiformis,[T] Holdemania_filiformis,healthy
"Pre-HT (Li, 2017)",2,T__Hungatella.hathewayi,[T] Hungatella_hathewayi,non-significant
"Pre-HT (Li, 2017)",1,T__Klebsiella.pneumoniae,[T] Klebsiella_pneumoniae,non-significant
"Pre-HT (Li, 2017)",1,T__Klebsiella.variicola,[T] Klebsiella_variicola,non-significant
"Pre-HT (Li, 2017)",1,T__Megasphaera.elsdenii,[T] Megasphaera_elsdenii,non-significant
"Pre-HT (Li, 2017)",1,T__Prevotella.copri,[T] Prevotella_copri,non-significant
"Pre-HT (Li, 2017)",2,T__Roseburia.inulinivorans,[T] Roseburia_inulinivorans,non-significant
"Schizofrenia (Zhu, 2020)",1,P__DAPLYSINESYN.PWY,[P] L-lysine biosynthesis I,non-significant
"Schizofrenia (Zhu, 2020)",2,P__FASYN.INITIAL.PWY,[P] superpathway of fatty acid biosynthesis initiation,non-significant
"Schizofrenia (Zhu, 2020)",1,P__NONMEVIPP.PWY,[P] methylerythritol phosphate pathway I,disease
"Schizofrenia (Zhu, 2020)",1,P__P124.PWY,[P] glucose fermentation to lactic acid (Bifidobacteria),disease
"Schizofrenia (Zhu, 2020)",1,P__PWY.5121,[P] superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),disease
"Schizofrenia (Zhu, 2020)",2,P__PWY.5659,[P] GDP-mannose biosynthesis,non-significant
"Schizofrenia (Zhu, 2020)",3,P__PWY.5941,[P] glycogen degradation II,non-significant
"Schizofrenia (Zhu, 2020)",1,P__PWY.622,[P] starch biosynthesis,disease
"Schizofrenia (Zhu, 2020)",3,P__PWY.6478,[P] GDP-D-_glycero_-&alpha;-D-_manno_-heptose biosynthesis,non-significant
"Schizofrenia (Zhu, 2020)",3,P__PWY.6572,[P] chondroitin sulfate degradation I (bacterial),non-significant
"Schizofrenia (Zhu, 2020)",1,P__PWY.7209,[P] superpathway of pyrimidine ribonucleosides degradation,disease
"Schizofrenia (Zhu, 2020)",1,P__PWY.7560,[P] methylerythritol phosphate pathway II,disease
"Schizofrenia (Zhu, 2020)",3,P__PWY0.845,[P] SP of pyridoxal 5'-phosphate biosynthesis/salvage,non-significant
"Schizofrenia (Zhu, 2020)",1,T__.Clostridium..innocuum,[T] Clostridium innocuum,disease
"Schizofrenia (Zhu, 2020)",3,T__Bacteroides.ovatus,[T] Bacteroides_ovatus,non-significant
"Schizofrenia (Zhu, 2020)",3,T__Bacteroides.thetaiotaomicron,[T] Bacteroides_thetaiotaomicron,non-significant
"Schizofrenia (Zhu, 2020)",1,T__Bifidobacterium.bifidum,[T] Bifidobacterium_bifidum,disease
"Schizofrenia (Zhu, 2020)",1,T__Bifidobacterium.longum,[T] Bifidobacterium_longum,disease
"Schizofrenia (Zhu, 2020)",1,T__Bifidobacterium.pseudocatenulatum,[T] Bifidobacterium_pseudocatenulatum,non-significant
"Schizofrenia (Zhu, 2020)",1,T__Dorea.formicigenerans,[T] Dorea_formicigenerans,disease
"Schizofrenia (Zhu, 2020)",1,T__Eggerthella.lenta,[T] Eggerthella_lenta,non-significant
"Schizofrenia (Zhu, 2020)",3,T__Flavonifractor.plautii,[T] Flavonifractor_plautii,disease
"Schizofrenia (Zhu, 2020)",1,T__Hungatella.hathewayi,[T] Hungatella_hathewayi,disease
"Schizofrenia (Zhu, 2020)",2,T__Phocaeicola.vulgatus,[T] Phocaeicola_vulgatus,healthy
"Schizofrenia (Zhu, 2020)",2,T__Prevotella.copri,[T] Prevotella_copri,non-significant
"Schizofrenia (Zhu, 2020)",1,T__Ruthenibacterium.lactatiformans,[T] Ruthenibacterium_lactatiformans,disease
"STH (Rubel, 2020)",1,P__ARGSYN.PWY_Cluster112,[P] L-arginine biosynthesis I (via L-ornithine) [Clustered features],non-significant
"STH (Rubel, 2020)",1,P__ARGSYNBSUB.PWY,[P] L-arginine biosynthesis II (acetyl cycle),non-significant
"STH (Rubel, 2020)",2,P__COBALSYN.PWY,[P] SP of adenosylcobalamin salvage from cobinamide I,healthy
"STH (Rubel, 2020)",3,P__DENOVOPURINE2.PWY,[P] superpathway of purine nucleotides _de novo_ biosynthesis II,disease
"STH (Rubel, 2020)",4,P__GALACTARDEG.PWY_Cluster138,[P] D-galactarate degradation I [Clustered features],disease
"STH (Rubel, 2020)",4,P__GLUCARDEG.PWY,[P] _D_-glucarate degradation I,non-significant
"STH (Rubel, 2020)",4,P__GLUCOSE1PMETAB.PWY,[P] glucose and glucose-1-phosphate degradation,non-significant
"STH (Rubel, 2020)",4,P__GLYOXYLATE.BYPASS,[P] glyoxylate cycle,disease
"STH (Rubel, 2020)",4,P__P461.PWY,"[P] hexitol fermentation to lactate, formate, ethanol and acetate",disease
"STH (Rubel, 2020)",2,P__PENTOSE.P.PWY,[P] pentose phosphate pathway,non-significant
"STH (Rubel, 2020)",2,P__PWY.2941,[P] L-lysine biosynthesis II,healthy
